N_unmapped	978924	978924	978924
N_multimapping	1290710	1290710	1290710
N_noFeature	1192188	19257733	1338650
N_ambiguous	2100877	43795	435650
ENSMUSG00000104478	0	0	0
ENSMUSG00000104385	0	0	0
ENSMUSG00000101231	0	0	0
ENSMUSG00000102135	3	0	3
ENSMUSG00000103282	0	0	0
ENSMUSG00000101097	0	0	0
ENSMUSG00000100764	0	0	0
ENSMUSG00000102534	0	0	0
ENSMUSG00000100831	0	0	0
ENSMUSG00000100884	0	0	0
ENSMUSG00000100635	0	0	0
ENSMUSG00000102213	0	0	0
ENSMUSG00000100480	5	0	5
ENSMUSG00000089037	0	0	0
ENSMUSG00000103629	0	0	0
ENSMUSG00002076531	0	0	0
ENSMUSG00000100025	0	0	0
ENSMUSG00000051285	1589	13	1576
ENSMUSG00000098201	0	0	0
ENSMUSG00000103509	4	0	4
ENSMUSG00000048538	3	0	3
ENSMUSG00000103709	0	0	0
ENSMUSG00000077244	0	0	0
ENSMUSG00000102768	0	0	0
ENSMUSG00000103498	0	0	0
ENSMUSG00000103067	0	0	0
ENSMUSG00000102320	0	0	0
ENSMUSG00000104226	0	0	0
ENSMUSG00000103903	0	0	0
ENSMUSG00000103557	0	0	0
ENSMUSG00000026312	339	1	338
ENSMUSG00000100290	0	0	0
ENSMUSG00000100758	0	0	0
ENSMUSG00000099926	0	0	0
ENSMUSG00000039748	7	0	7
ENSMUSG00000118715	0	0	0
ENSMUSG00000104158	0	0	0
ENSMUSG00000103540	2	0	2
ENSMUSG00000057363	584	0	584
ENSMUSG00000047216	247	0	247
ENSMUSG00000102788	2	0	2
ENSMUSG00000102160	0	0	0
ENSMUSG00000101253	0	0	3
ENSMUSG00000101846	0	3	0
ENSMUSG00000090243	0	0	0
ENSMUSG00000100701	0	0	0
ENSMUSG00000100555	5	0	5
ENSMUSG00000101395	0	0	0
ENSMUSG00000102728	0	0	0
ENSMUSG00000088848	0	0	0
ENSMUSG00002075225	0	0	0
ENSMUSG00000038702	230	5	225
ENSMUSG00000101875	0	0	0
ENSMUSG00000099732	0	0	0
ENSMUSG00000101220	0	0	0
ENSMUSG00000100020	0	0	0
ENSMUSG00000088691	0	0	0
ENSMUSG00000099884	0	0	0
ENSMUSG00000100304	0	0	0
ENSMUSG00000101453	0	0	0
ENSMUSG00000102105	0	0	0
ENSMUSG00000099943	0	0	0
ENSMUSG00002075119	0	0	0
ENSMUSG00000101687	0	0	0
ENSMUSG00000055214	354	9	348
ENSMUSG00000078184	3	0	3
ENSMUSG00000104363	0	0	0
ENSMUSG00000103277	0	0	0
ENSMUSG00000104157	44	0	44
ENSMUSG00000102446	0	0	0
ENSMUSG00000104248	0	0	0
ENSMUSG00000103471	0	0	0
ENSMUSG00000087875	0	0	0
ENSMUSG00000033007	806	10	1096
ENSMUSG00000070695	559	2	594
ENSMUSG00000025909	374	45	329
ENSMUSG00002076179	0	0	0
ENSMUSG00000102033	0	0	0
ENSMUSG00000102647	0	0	0
ENSMUSG00000086235	0	0	0
ENSMUSG00000102253	0	0	0
ENSMUSG00002074990	0	0	0
ENSMUSG00000094429	0	0	0
ENSMUSG00000103884	0	0	0
ENSMUSG00000084353	0	0	0
ENSMUSG00000103933	0	0	0
ENSMUSG00002075967	0	0	0
ENSMUSG00000086195	0	0	0
ENSMUSG00000104504	0	0	0
ENSMUSG00000066693	1	0	1
ENSMUSG00000102316	9	0	9
